peer_addr = 172.16.253.11:5556
test begin!

BlockID  bct  BlockSize  Priority  Deadline
      3421     14114      1300         1       200
      3425     14116      8595         2       200
      3429     14114      1290         1       200
      3433     14116      1335         1       200
      3437     14119     17280         2       200
      3441     14115      1275         1       200
      3445     14115      1270         1       200
      3449     14117      9025         2       200
      3453     14116      1305         1       200
      3457     14118      1300         1       200
      3465     14115      1275         1       200
      3461     14124     51510         2       200
      3469     14115      1270         1       200
      3473     14118      7670         2       200
      3477     14115      1255         1       200
      3481     14116      1315         1       200
      3485     14120     17895         2       200
      3489     14116      1260         1       200
      3493     14115      1290         1       200
      3497     14122      8165         2       200
      3501     14121      1260         1       200
      3505     14115      1285         1       200
      3509     14125     43495         2       200
      3513     14127      1270         1       200
      3517     14115      1285         1       200
      3525     14118      1260         1       200
      3521     14118     10905         2       200
      3529     14116      1285         1       200
      3533     14119     15270         2       200
      3537     14119      1315         1       200
      3541     14114      1265         1       200
      3549     14117      1295         1       200
      3545     14117      8630         2       200
      3553     14114      1295         1       200
      3557     14121     31550         2       200
      3561     14122      1345         1       200
      3565     14118      9625         2       200
      3569     14117      1270         1       200
      3573     14117      1230         1       200
      3577     14118     13875         2       200
      3605     14258      1305         1       200
      3613     14238     12750         2       200
      3633     14180      1315         1       200
      3625     14202     21490         2       200
      3617     14221      1245         1       200
      3597     14297      1280         1       200
      3585     14336      1280         1       200
      3601     14276     20460         2       200
      3581     14336      1305         1       200
      3609     14258      1285         1       200
      3621     14221      1280         1       200
      3629     14186      1280         1       200
      3593     14297      1220         1       200
      3589     14314      8455         2       200
      3657     14126      1315         1       200
      3653     14138      1315         1       200
      3645     14173      1265         1       200
      3641     14180      1305         1       200
      3649     14152      5440         2       200
      3661     14127      1515         2       200
      3665     14116      1265         1       200
      3669     14117      1290         1       200
      3677     14117      1280         1       200
      3681     14114      1260         1       200
      3685     14119      2000         2       200
      3689     14115      1280         1       200
      3693     14116      1300         1       200
      3697     14119      5785         2       200
      3673     14217    208725         2       200
      3701     14117      1285         1       200
      3705     14117      1300         1       200
      3709     14117      3340         2       200
      3713     14116      1260         1       200
      3717     14116      1250         1       200
      3725     14121      1285         1       200
      3729     14116      1300         1       200
      3721     14150    116320         2       200
      3733     14116      2730         2       200
      3737     14116      1285         1       200
      3741     14116      1275         1       200
      3745     14116      4130         2       200
      3749     14116      1280         1       200
      3753     14118      1300         1       200
      3757     14116      1910         2       200
      3761     14117      1220         1       200
      3765     14117      1495         1       200
      3773     14129      1270         1       200
      3769     14130     68175         2       200
      3777     14116      1250         1       200
      3781     14117      2815         2       200
      3785     14117      1280         1       200
      3789     14117      1235         1       200
      3797     14117      1230         1       200
      3793     14116      4290         2       200
      3801     14115      1240         1       200
      3809     14117      1240         1       200
      3805     14117      1270         2       200
      3813     14118      1190         1       200
      3817     14129     65440         2       200
      3821     14132      1240         1       200
      3825     14116      2060         2       200
      3829     14115      1235         1       200
      3833     14118      1235         1       200
      3837     14117       690         2       200
      3841     14116      1265         1       200
      3845     14117      1270         1       200
      3849     14122     23445         2       200
      3853     14117      1385         1       200
      3857     14117      1445         1       200
      3861     14117      2090         2       200
      3869     14116      1200         1       200
      3865     14116      1235         1       200
      3873     14116      1150         2       200
      3877     14115      1265         1       200
      3881     14118      1320         1       200
      3885     14121     24645         2       200
      3889     14117      1285         1       200
      3893     14117      1380         1       200
      3897     14116      1125         2       200
      3901     14116      1385         1       200
      3905     14116      1345         1       200
      3909     14117      3715         2       200
      3913     14116      1395         1       200
      3917     14116      1330         1       200
      3921     14116      1035         2       200
      3925     14118      1245         1       200
      3929     14117      1270         1       200
      3933     14126     59100         2       200
      3937     14116      1485         1       200
      3941     14116      1165         1       200
      3945     14116      1815         2       200
      3949     14116      1195         1       200
      3953     14116      1245         1       200
      3957     14117      3970         2       200
      3961     14117      1225         1       200
      3965     14116      1290         1       200
      3969     14117       925         2       200
