peer_addr = 172.16.253.11:5555
test begin!

BlockID	bct	BlockSize	Priority	Deadline
2537      	     14119	     32485	         2	       200
2541      	     14120	      1285	         1	       200
2545      	     14122	      1320	         1	       200
2549      	     14122	     54100	         2	       200
2553      	     14123	      1270	         1	       200
2557      	     14114	      1315	         1	       200
2561      	     14124	     29490	         2	       200
2565      	     14123	      1305	         1	       200
2569      	     14115	      1265	         1	       200
2573      	     14122	     97540	         2	       200
2577      	     14121	      1255	         1	       200
2581      	     14114	      1285	         1	       200
2585      	     14123	     31035	         2	       200
2589      	     14120	      1315	         1	       200
2593      	     14121	      1300	         1	       200
2597      	     14123	     53040	         2	       200
2601      	     14119	      1305	         1	       200
2605      	     14115	      1305	         1	       200
2609      	     14117	     32030	         2	       200
2613      	     14115	      1335	         1	       200
2617      	     14115	      1290	         1	       200
2621      	     14123	     91920	         2	       200
2625      	     14118	      1260	         1	       200
2629      	     14115	      1320	         1	       200
2633      	     14123	     31315	         2	       200
2637      	     14116	      1290	         1	       200
2641      	     14115	      1270	         1	       200
2645      	     14123	     52790	         2	       200
2649      	     14116	      1260	         1	       200
2653      	     14115	      1275	         1	       200
2657      	     14124	     29335	         2	       200
2661      	     14117	      1280	         1	       200
2665      	     14115	      1335	         1	       200
2669      	     14124	     97615	         2	       200
2673      	     14121	      1265	         1	       200
2677      	     14115	      1285	         1	       200
2681      	     14121	     32725	         2	       200
2685      	     14115	      1270	         1	       200
2689      	     14115	      1345	         1	       200
2693      	     14122	     53150	         2	       200
2697      	     14115	      1420	         1	       200
2701      	     14115	      1810	         1	       200
2705      	     14123	     30085	         2	       200
2709      	     14115	      1300	         1	       200
2713      	     14115	      1295	         1	       200
2717      	     14123	     85020	         2	       200
2721      	     14115	      1285	         1	       200
2725      	     14115	      1180	         1	       200
2729      	     14123	     31280	         2	       200
2733      	     14115	      1140	         1	       200
2737      	     14118	      1200	         1	       200
2741      	     14121	     53555	         2	       200
2745      	     14115	      1120	         1	       200
2749      	     14115	      1205	         1	       200
2753      	     14121	     30930	         2	       200
2757      	     14117	      1190	         1	       200
2761      	     14115	      1205	         1	       200
2765      	     14122	     86340	         2	       200
2769      	     14115	      1185	         1	       200
2773      	     14124	     31165	         2	       200
2777      	     14127	      1150	         1	       200
2781      	     14115	      1290	         1	       200
2785      	     14124	     52350	         2	       200
2789      	     14126	      1190	         1	       200
2793      	     14115	      1280	         1	       200
2797      	     14119	     31005	         2	       200
2801      	     14122	      1225	         1	       200
2805      	     14122	      1260	         1	       200
2809      	     14121	     77730	         2	       200
2813      	     14121	      1250	         1	       200
2817      	     14122	      1255	         1	       200
2821      	     14121	     33265	         2	       200
2825      	     14121	      1250	         1	       200
2829      	     14122	      1250	         1	       200
2833      	     14123	     52350	         2	       200
2837      	     14122	      1270	         1	       200
2841      	     14115	      1270	         1	       200
2845      	     14123	     35020	         2	       200
2849      	     14120	      1300	         1	       200
2853      	     14115	      1235	         1	       200
2857      	     14123	     65795	         2	       200
2861      	     14119	      1260	         1	       200
2865      	     14115	      1250	         1	       200
2869      	     14117	     33940	         2	       200
2873      	     14115	      1270	         1	       200
2877      	     14116	      1260	         1	       200
2881      	     14124	     56125	         2	       200
2885      	     14119	      1315	         1	       200
2889      	     14116	      1265	         1	       200
2893      	     14127	     40675	         2	       200
2897      	     14121	      1245	         1	       200
2901      	     14115	      1280	         1	       200
2905      	     14127	     50000	         2	       200
2909      	     14120	      1250	         1	       200
2913      	     14116	      1290	         1	       200
2917      	     14128	     42190	         2	       200
2921      	     14120	      1290	         1	       200
2925      	     14115	      1305	         1	       200
2929      	     14160	   1000000	         2	       200
2933      	     14147	      1270	         1	       200
2937      	     14126	      1300	         1	       200
2941      	     14127	      8835	         2	       200
2945      	     14117	      1270	         1	       200
2949      	     14115	      1295	         1	       200
2953      	     14117	      5600	         2	       200
2957      	     14126	      1260	         1	       200
2961      	     14115	      1260	         1	       200
2965      	     14127	     92610	         2	       200
2969      	     14115	      1310	         1	       200
2973      	     14115	      1275	         1	       200
2977      	     14127	      6870	         2	       200
2981      	     14116	      1265	         1	       200
2985      	     14116	      1250	         1	       200
2989      	     14127	     12090	         2	       200
2993      	     14115	      1305	         1	       200
2997      	     14116	      1255	         1	       200
3001      	     14127	      9080	         2	       200
3005      	     14116	      1255	         1	       200
3009      	     14115	      1280	         1	       200
3013      	     14127	     72260	         2	       200
3017      	     14115	      1300	         1	       200
3021      	     14128	      1335	         1	       200
3025      	     14132	      6690	         2	       200
3029      	     14116	      1340	         1	       200
3033      	     14127	     13030	         2	       200
3037      	     14132	      1270	         1	       200
3041      	     14116	      1315	         1	       200
3045      	     14126	      7965	         2	       200
3049      	     14129	      1310	         1	       200
3053      	     14115	      1305	         1	       200
3057      	     14128	     72960	         2	       200
3061      	     14130	      1245	         1	       200
3065      	     14115	      1275	         1	       200
3069      	     14121	      8215	         2	       200
3073      	     14121	      1275	         1	       200
3077      	     14116	      1250	         1	       200
3081      	     14129	     12140	         2	       200
3085      	     14128	      1305	         1	       200
3089      	     14116	      1295	         1	       200
3093      	     14117	      6445	         2	       200
3097      	     14127	      1260	         1	       200
3101      	     14116	      1290	         1	       200
3105      	     14126	     66780	         2	       200
3109      	     14125	      1315	         1	       200
3113      	     14116	      1335	         1	       200
